A,2003,2004,2005,2006,2007,2008,2009,2010,2011
Andhra Pradesh,2.2,2.1,2,2,1.9,1.8,1.9,1.8,1.8
Assam,2.9,2.9,2.9,2.7,2.7,2.6,2.6,2.5,2.4
Bihar,4.2,4.3,4.3,4.2,3.9,3.9,3.9,3.7,3.6
Chhattisgarh,-,3.3,3.4,3.3,3.1,3,3,2.8,2.7
Delhi,-,2.1,2.1,2.1,2,2,1.9,1.9,1.8
Gujarat,2.8,2.8,2.8,2.7,2.6,2.5,2.5,2.5,2.4
Haryana,3,3,2.8,2.7,2.6,2.5,2.5,2.3,2.3
Himachal Pradesh,2.1,2.1,2.2,2,1.9,1.9,1.9,1.8,1.8
Jammu & Kashmir,-,2.4,2.4,2.3,2.3,2.2,2.2,2,1.9
Jharkhand,-,3.5,3.5,3.4,3.2,3.2,3.2,3,2.9
Karnataka,2.3,2.3,2.2,2.1,2.1,2,2,2,1.9
Kerala,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8
Madhya Pradesh,3.8,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.1
Maharashtra,2.3,2.2,2.2,2.1,2,2,1.9,1.9,1.8
Odisha,2.6,2.7,2.6,2.5,2.4,2.4,2.4,2.3,2.2
Punjab,2.3,2.2,2.1,2.1,2,1.9,1.9,1.8,1.8
Rajasthan,3.8,3.7,3.7,3.5,3.4,3.3,3.3,3.1,3
Tamil Nadu,1.9,1.8,1.7,1.7,1.6,1.7,1.7,1.7,1.7
Telangana,-,-,-,-,-,-,-,-,-
Uttar Pradesh,4.4,4.4,4.2,4.2,3.9,3.8,3.7,3.5,3.4
Uttarakhand,-,-,-,-,-,-,-,-,-
West Bengal,2.3,2.2,2.1,2,1.9,1.9,1.9,1.8,1.7
All-India,3,2.9,2.9,2.8,2.7,2.6,2.6,2.5,2.4
