A,1951-1961,1961-1971,1971-1981,1981-1991,1991-2001,2001-2011
Andaman & Nicobar Islands,105.19,81.17,63.93,48.7,26.9,6.86
Andhra Pradesh,15.65,20.9,23.1,24.2,14.59,10.98
Arunachal Pradesh,-,38.91,35.15,36.83,27,26.03
Assam,34.98,34.95,23.36,24.24,18.92,17.07
Bihar,19.79,20.91,24.16,23.38,28.62,25.4
Chandigarh,394.13,114.59,75.55,42.16,40.28,17.09
Chhattisgarh,22.77,27.12,20.39,25.73,18.27,22.61
Dadra & Nagar Haveli,39.56,27.96,39.78,33.57,59.22,55.88
Daman & Diu,-24.56,70.85,26.07,28.62,55.73,53.76
NCT of Delhi,52.44,52.93,53,51.45,47.02,21.21
Goa,7.77,34.77,26.74,16.08,15.21,8.23
Gujarat,26.88,29.39,27.67,21.19,22.66,19.28
Haryana,33.79,32.22,28.75,27.41,28.43,19.9
Himachal Pradesh,17.87,23.04,23.71,20.79,17.54,12.94
Jammu & Kashmir,9.44,29.65,29.69,30.89,29.43,23.64
Jharkhand,19.69,22.58,23.79,24.03,23.36,22.42
Karnataka,21.57,24.22,26.75,21.12,17.51,15.6
Kerala,24.76,26.29,19.24,14.32,9.43,4.91
Lakshadweep,14.61,31.95,26.53,28.47,17.3,6.3
Madhya Pradesh,24.73,29.28,27.16,27.24,24.26,20.35
Maharashtra,23.6,27.45,24.54,25.73,22.73,15.99
Manipur,35.04,37.53,32.46,29.29,24.86,24.5
Meghalaya,27.03,31.5,32.04,32.86,30.65,29.95
Mizoram,35.61,24.93,48.55,39.7,28.82,23.48
Nagaland,73.2,39.88,50.05,56.08,64.53,-0.58
Odisha,19.82,25.05,20.17,20.06,16.25,14.05
Puducherry,16.34,27.81,28.15,33.64,20.62,28.08
Punjab,21.56,21.7,23.89,20.81,20.1,13.89
Rajasthan,26.2,27.83,32.97,28.44,28.41,21.31
Sikkim,17.76,29.38,50.77,28.47,33.06,12.89
Tamil Nadu,11.85,22.3,17.5,15.39,11.72,15.61
Tripura,78.71,36.28,31.92,34.3,16.03,14.84
Uttar Pradesh,16.38,19.54,25.39,25.61,25.85,20.23
Uttarakhand,22.57,24.42,27.45,23.13,20.41,18.81
West Bengal,32.8,26.87,23.17,24.73,17.77,13.84
ALL INDIA,21.51,24.8,24.66,23.87,21.54,17.7
